Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
6,1,1,16.5,0.011285251,1.205,5,210
6,1,2,16.5,0.011243828,1.205,3,210
6,1,3,16.5,0.011409554,1.206,3,210
6,1,4,15.7,0.010377586,1.206,2,210
6,1,5,16.5,0.0112554,1.204,2,210
6,1,6,15.7,0.010377586,1.206,3,210
6,1,7,16,0.010418421,1.204,3,210
6,1,8,15.7,0.010201457,1.206,5,210
6,1,9,15.7,0.01006671,1.206,3,210
6,1,10,15,0.009277101,1.209,5,210
6,1,11,17,0.010720308,1.199,5,230
6,1,12,16.5,0.009733646,1.195,3,210
6,1,13,20,0.013257168,1.181,3,210
6,1,14,17.5,0.010214191,1.188,5,180
6,1,15,17,0.009918501,1.19,5,180
6,1,16,17,0.009918501,1.19,3,180
6,1,17,16.3,0.009390568,1.194,2,180
6,1,18,16.2,0.009522681,1.196,2,190
6,1,19,16.5,0.010735696,1.202,2,210
6,1,20,15,0.010183904,1.216,2,180
6,1,21,16.2,0.011038894,1.209,3,210
6,1,22,16,0.011016353,1.212,3,120
6,1,23,16.2,0.011151827,1.212,2,250
6,1,24,16,0.011005221,1.213,2,250
6,2,1,15.6,0.010727938,1.214,1,250
6,2,2,15.5,0.010656883,1.214,1,250
6,2,3,15.2,0.010528851,1.217,1,250
6,2,4,14.5,0.010102692,1.22,0,0
6,2,5,14.3,0.009969677,1.221,0,0
6,2,6,14.1,0.009838223,1.222,0,0
6,2,7,14,0.009773075,1.222,0,0
6,2,8,13.7,0.009538724,1.224,0,0
6,2,9,13.7,0.009250465,1.221,2,270
6,2,10,15,0.009760952,1.214,1,270
6,2,11,16,0.009972267,1.204,2,330
6,2,12,16.5,0.010134465,1.2,2,330
6,2,13,17,0.009906625,1.191,2,360
6,2,14,18.2,0.010999067,1.184,4,360
6,2,15,18.2,0.010970593,1.183,4,30
6,2,16,17,0.009930401,1.189,4,30
6,2,17,16.2,0.009410481,1.194,5,30
6,2,18,16.3,0.010019898,1.197,4,40
6,2,19,16.2,0.010482555,1.202,4,50
6,2,20,15.8,0.010479866,1.207,3,40
6,2,21,15.2,0.010136987,1.211,3,30
6,2,22,15.1,0.009984992,1.211,2,360
6,2,23,15.2,0.010260837,1.212,0,0
6,2,24,15,0.010122236,1.213,3,340
6,3,1,15,0.010122236,1.213,2,360
6,3,2,15.5,0.010678486,1.212,3,280
6,3,3,15.5,0.010678486,1.212,2,310
6,3,4,15.3,0.01033075,1.211,3,270
6,3,5,14.5,0.009989004,1.217,1,300
6,3,6,13.7,0.009671946,1.224,3,310
6,3,7,11.5,0.008354345,1.236,0,0
6,3,8,11.5,0.008354345,1.236,2,270
6,3,9,14,0.009535567,1.219,3,270
6,3,10,16.8,0.011199372,1.204,2,20
6,3,11,17.4,0.011085492,1.196,4,20
6,3,12,17.3,0.010386901,1.191,3,10
6,3,13,17.9,0.010423174,1.183,3,360
6,3,14,17.8,0.010066182,1.18,3,40
6,3,15,17.7,0.010369485,1.183,5,30
6,3,16,17.9,0.010461109,1.18,5,40
6,3,17,17.4,0.010390507,1.185,5,40
6,3,18,17.2,0.011059699,1.193,5,60
6,3,19,16.5,0.010811732,1.199,4,50
6,3,20,16.5,0.010800146,1.2,5,50
6,3,21,16,0.010429607,1.203,2,50
6,3,22,15.7,0.01062551,1.208,2,40
6,3,23,15,0.01053528,1.216,0,0
6,3,24,15,0.01053528,1.216,0,0
6,4,1,13.8,0.009529963,1.221,1,270
6,4,2,13.5,0.009338974,1.223,3,270
6,4,3,13.5,0.009348453,1.222,3,270
6,4,4,13.2,0.009366454,1.225,0,0
6,4,5,13,0.009252196,1.225,0,0
6,4,6,13,0.009252196,1.225,2,210
6,4,7,12.8,0.009130086,1.226,0,0
6,4,8,12.6,0.009009422,1.227,2,330
6,4,9,14,0.009833903,1.22,0,0
6,4,10,17.3,0.011664606,1.198,3,360
6,4,11,17.3,0.010724669,1.189,3,30
6,4,12,18.3,0.011327724,1.182,3,360
6,4,13,18.7,0.011623469,1.179,5,360
6,4,14,18.5,0.010970629,1.175,3,360
6,4,15,18,0.010361845,1.175,7,40
6,4,16,18,0.010539763,1.175,8,40
6,4,17,17.5,0.010354314,1.179,4,40
6,4,18,17,0.010414845,1.185,6,40
6,4,19,17.3,0.011394363,1.189,7,30
6,4,20,17.3,0.011382054,1.19,5,30
6,4,21,16.7,0.010791708,1.193,3,50
6,4,22,17.3,0.01146491,1.191,3,30
6,4,23,17.5,0.011872853,1.192,3,360
6,4,24,17.4,0.011834491,1.193,4,330
6,5,1,17.8,0.01248911,1.193,2,350
6,5,2,16.6,0.011253472,1.197,3,360
6,5,3,15.8,0.010576627,1.201,2,340
6,5,4,15.1,0.010048559,1.204,0,0
6,5,5,14.7,0.009855555,1.206,0,0
6,5,6,14.3,0.009720178,1.208,0,0
6,5,7,15.3,0.010560464,1.205,0,0
6,5,8,15.4,0.010672597,1.205,0,0
6,5,9,16.1,0.010724822,1.198,3,360
6,5,10,16.5,0.011177675,1.198,0,0
6,5,11,17.5,0.01174841,1.191,0,0
6,5,12,18,0.011490925,1.183,2,330
6,5,13,18.8,0.012468507,1.179,4,360
6,5,14,19.2,0.012249899,1.171,5,30
6,5,15,20.2,0.013131313,1.164,3,40
6,5,16,19.8,0.012595261,1.165,1,40
6,5,17,19.5,0.012531138,1.169,3,240
6,5,18,18.3,0.011779259,1.178,4,200
6,5,19,17,0.010745316,1.187,2,210
6,5,20,16.8,0.010661567,1.19,3,180
6,5,21,16.5,0.010639919,1.194,0,0
6,5,22,15.5,0.010308721,1.204,0,0
6,5,23,15.7,0.010658565,1.204,0,0
6,5,24,16.2,0.011231263,1.203,1,300
6,6,1,14.8,0.010233098,1.211,0,0
6,6,2,14.6,0.010138354,1.212,0,0
6,6,3,14.5,0.010236057,1.214,0,0
6,6,4,14,0.009904682,1.217,0,0
6,6,5,14,0.009904682,1.217,0,0
6,6,6,14.1,0.009970177,1.217,0,0
6,6,7,13.8,0.009774848,1.218,0,0
6,6,8,14,0.009894817,1.218,0,0
6,6,9,14.5,0.01009183,1.216,0,0
6,6,10,16.7,0.011365441,1.202,3,240
6,6,11,17.2,0.010923465,1.193,5,220
6,6,12,17.8,0.010767872,1.186,6,220
6,6,13,18,0.011149878,1.185,7,210
6,6,14,18.4,0.01177109,1.185,5,200
6,6,15,17.5,0.010924312,1.188,6,210
6,6,16,17.5,0.010758945,1.187,6,200
6,6,17,16.5,0.010398492,1.196,4,180
6,6,18,16,0.010028047,1.198,5,190
6,6,19,16.5,0.011006989,1.202,6,210
6,6,20,16,0.010512232,1.204,3,230
6,6,21,15.7,0.010366616,1.207,3,210
6,6,22,15.7,0.010160183,1.205,3,220
6,6,23,15.7,0.009871429,1.203,3,180
6,6,24,16,0.010418421,1.204,2,210
6,7,1,16,0.010501044,1.205,0,0
6,7,2,16,0.010831778,1.207,0,0
6,7,3,16,0.010625024,1.206,3,270
6,7,4,16.3,0.010970084,1.205,0,0
6,7,5,16.5,0.011379688,1.205,0,0
6,7,6,16.5,0.011421129,1.205,0,0
6,7,7,16,0.010842973,1.206,1,330
6,7,8,15.5,0.010482641,1.209,1,330
6,7,9,16,0.010842973,1.206,0,0
6,7,10,16,0.010200809,1.204,1,330
6,7,11,17,0.010537452,1.195,2,30
6,7,12,18.2,0.011288694,1.187,2,340
6,7,13,18.5,0.011551831,1.184,2,360
6,7,14,18.7,0.011955118,1.182,5,30
6,7,15,17.5,0.010758945,1.187,5,10
6,7,16,18.5,0.012200318,1.186,3,30
6,7,17,18.2,0.012156625,1.189,4,30
6,7,18,18,0.012004256,1.189,3,50
6,7,19,18.1,0.012377423,1.191,4,10
6,7,20,18.4,0.012711001,1.19,4,30
6,7,21,18.2,0.012543549,1.191,4,30
6,7,22,17.9,0.012407893,1.195,3,340
6,7,23,17.5,0.012138538,1.196,3,330
6,7,24,17.5,0.012221613,1.197,3,340
6,8,1,17.5,0.012221613,1.197,3,10
6,8,2,17.6,0.012343403,1.197,2,330
6,8,3,17.6,0.012343403,1.197,2,330
6,8,4,18.1,0.01280621,1.193,3,360
6,8,5,18,0.012723518,1.194,3,330
6,8,6,18,0.012723518,1.194,2,40
6,8,7,17.9,0.012599709,1.194,3,20
6,8,8,17.7,0.012395149,1.195,3,30
6,8,9,18.4,0.012890628,1.19,2,360
6,8,10,18.6,0.012298347,1.184,2,10
6,8,11,19.3,0.01253159,1.178,3,40
6,8,12,18.8,0.01159815,1.177,3,360
6,8,13,18.9,0.011614936,1.174,3,30
6,8,14,19.2,0.011310394,1.167,4,40
6,8,15,20.1,0.012468228,1.163,3,30
6,8,16,19.5,0.012295054,1.169,4,30
6,8,17,18.7,0.01185648,1.175,7,30
6,8,18,19.4,0.013134237,1.176,5,40
6,8,19,18.6,0.012642795,1.182,4,360
6,8,20,17.8,0.012099143,1.187,5,10
6,8,21,17.5,0.011843844,1.19,6,30
6,8,22,16.9,0.011383239,1.192,5,20
6,8,23,16.9,0.011383239,1.192,4,10
6,8,24,16.5,0.011076875,1.195,4,20
6,9,1,16,0.010899282,1.2,3,10
6,9,2,15.1,0.010048559,1.204,3,360
6,9,3,15.1,0.010048559,1.204,3,10
6,9,4,16,0.010899282,1.2,3,270
6,9,5,16.5,0.011479352,1.199,2,300
6,9,6,16.2,0.011254164,1.201,3,290
6,9,7,16.4,0.011403851,1.2,4,240
6,9,8,17,0.010827994,1.188,4,210
6,9,9,17.5,0.011002898,1.185,3,200
6,9,10,17.2,0.011154621,1.192,2,240
6,9,11,19,0.012434669,1.181,0,0
6,9,12,19.9,0.012738743,1.172,2,240
6,9,13,20,0.012705753,1.17,4,190
6,9,14,20,0.012512635,1.167,4,160
6,9,15,20.3,0.013346681,1.169,3,160
6,9,16,20,0.013359056,1.173,4,160
6,9,17,19.7,0.013292716,1.176,2,160
6,9,18,19,0.012864107,1.183,2,170
6,9,19,18,0.012432424,1.191,1,150
6,9,20,18.3,0.012668623,1.191,2,120
6,9,21,18.3,0.012889771,1.191,2,120
6,9,22,17.5,0.01223405,1.196,2,130
6,9,23,17.5,0.01223405,1.196,0,0
6,9,24,17.2,0.011995873,1.198,0,0
6,10,1,17.5,0.012441846,1.198,0,0
6,10,2,17.4,0.012361944,1.198,0,0
