Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
10,1,1,12.2,0.008517209,1.228,3,210
10,1,2,11.2,0.007466706,1.228,5,210
10,1,3,11.2,0.007466706,1.228,5,230
10,1,4,11.2,0.007474845,1.227,5,210
10,1,5,11,0.007684664,1.232,6,210
10,1,6,11,0.007684664,1.232,5,210
10,1,7,10.5,0.006877754,1.232,5,210
10,1,8,9.8,0.00623177,1.233,3,230
10,1,9,10,0.006244248,1.232,3,240
10,1,10,10,0.005918611,1.23,3,200
10,1,11,10.2,0.005939624,1.228,4,210
10,1,12,10.3,0.005991273,1.227,4,240
10,1,13,11.5,0.006921736,1.223,3,220
10,1,14,11.8,0.007499348,1.225,3,240
10,1,15,12,0.007613744,1.224,4,230
10,1,16,13,0.008225043,1.216,4,220
10,1,17,11.8,0.007475334,1.222,5,230
10,1,18,11.7,0.007745919,1.226,3,240
10,1,19,11.7,0.007737516,1.227,3,220
10,1,20,11.3,0.00726017,1.228,3,210
10,1,21,11.7,0.007647251,1.228,2,230
10,1,22,11.6,0.007582553,1.229,2,240
10,1,23,11.6,0.007500716,1.229,0,0
10,1,24,12.1,0.008318583,1.23,0,0
10,2,1,12.2,0.007925655,1.226,0,0
10,2,2,12.3,0.008033748,1.225,0,0
10,2,3,12.9,0.008802606,1.225,2,250
10,2,4,12.6,0.008794919,1.227,0,0
10,2,5,12.1,0.008458934,1.229,3,240
10,2,6,12.1,0.008212744,1.227,2,230
10,2,7,11.8,0.007385079,1.223,3,210
10,2,8,11.5,0.007003403,1.224,3,220
10,2,9,12.1,0.007253814,1.221,3,210
10,2,10,13.7,0.00863376,1.216,4,230
10,2,11,14.2,0.008751104,1.212,6,230
10,2,12,15,0.009369837,1.208,5,230
10,2,13,14.7,0.008960042,1.208,6,230
10,2,14,15,0.009010031,1.204,3,170
10,2,15,15,0.009297959,1.206,5,180
10,2,16,15,0.009226122,1.204,4,200
10,2,17,14.8,0.009253943,1.207,4,180
10,2,18,14.5,0.009165017,1.211,4,200
10,2,19,14.1,0.008901091,1.213,4,210
10,2,20,13,0.007787792,1.217,2,220
10,2,21,13,0.007901555,1.219,4,240
10,2,22,13.6,0.008766214,1.22,3,220
10,2,23,13,0.00806547,1.22,2,220
10,2,24,13,0.008188469,1.221,4,220
10,3,1,13,0.008188469,1.221,3,230
10,3,2,12.7,0.008016143,1.222,0,0
10,3,3,13.2,0.008443465,1.22,0,0
10,3,4,13.7,0.008725485,1.216,0,0
10,3,5,13.7,0.008725485,1.216,2,190
10,3,6,13.3,0.008391619,1.217,3,240
10,3,7,13.8,0.009118282,1.218,2,240
10,3,8,13.7,0.008848757,1.217,2,200
10,3,9,14,0.009031858,1.216,4,240
10,3,10,14.7,0.009494954,1.212,0,0
10,3,11,15,0.009287519,1.207,0,0
10,3,12,15.1,0.009778803,1.209,3,240
10,3,13,15.5,0.009852696,1.205,3,270
10,3,14,15.5,0.010069739,1.206,3,240
10,3,15,16.5,0.011432727,1.204,2,160
10,3,16,16.2,0.011332731,1.207,0,0
10,3,17,16.1,0.011311563,1.206,3,210
10,3,18,16,0.011290687,1.206,0,0
10,3,19,15.6,0.011000326,1.208,1,220
10,3,20,15.6,0.010958936,1.208,0,0
10,3,21,15.6,0.010947962,1.209,2,210
10,3,22,15.7,0.011061233,1.209,2,170
10,3,23,15.9,0.011206263,1.208,2,200
10,3,24,16.1,0.011322907,1.205,2,160
10,4,1,15.4,0.010857674,1.209,0,0
10,4,2,14.5,0.010029669,1.213,3,200
10,4,3,14.5,0.010029669,1.213,4,220
10,4,4,15.4,0.010868526,1.208,3,210
10,4,5,14.8,0.010243521,1.21,4,240
10,4,6,14.8,0.010253965,1.209,3,230
10,4,7,15.7,0.011094444,1.205,0,0
10,4,8,16.2,0.011449874,1.204,2,240
10,4,9,16.4,0.011599504,1.203,2,220
10,4,10,16.5,0.011663303,1.203,1,220
10,4,11,18,0.012848364,1.195,1,240
10,4,12,19,0.013488869,1.187,5,90
10,4,13,19.5,0.01394599,1.183,2,120
10,4,14,19,0.013085945,1.183,2,100
10,4,15,19.5,0.013543011,1.179,4,100
10,4,16,19.2,0.013289478,1.18,3,120
10,4,17,19.2,0.013275505,1.181,3,120
10,4,18,19,0.01351639,1.185,3,90
10,4,19,19,0.01351639,1.185,2,90
10,4,20,18.8,0.01355086,1.188,2,80
10,4,21,19,0.013711181,1.188,2,90
10,4,22,19,0.013711181,1.188,0,0
10,4,23,19,0.013613987,1.188,3,30
10,4,24,18.9,0.013610308,1.19,2,50
10,5,1,18.9,0.01362397,1.188,2,10
10,5,2,18.8,0.013537259,1.189,0,0
10,5,3,18.8,0.013537259,1.189,2,60
10,5,4,18.7,0.013464558,1.188,2,70
10,5,5,18.7,0.013478097,1.187,0,0
10,5,6,18.8,0.013564488,1.187,0,0
10,5,7,19,0.013738767,1.186,2,10
10,5,8,19,0.013738767,1.186,2,360
10,5,9,19,0.013738767,1.186,1,20
10,5,10,19.1,0.013812763,1.186,5,270
10,5,11,19,0.013711181,1.188,2,30
10,5,12,19.2,0.013887111,1.187,3,30
10,5,13,19.8,0.014261794,1.178,5,360
10,5,14,19.8,0.014178235,1.178,5,360
10,5,15,20,0.014517854,1.175,6,30
10,5,16,19.7,0.014005047,1.174,13,30
10,5,17,19.7,0.014019634,1.172,8,30
10,5,18,19.5,0.013643355,1.171,5,30
10,5,19,19.5,0.014046205,1.175,5,30
10,5,20,19.5,0.014031802,1.176,8,30
10,5,21,19.3,0.013851816,1.177,9,40
10,5,22,19.3,0.014004614,1.18,10,30
10,5,23,19.4,0.014136072,1.18,8,30
10,5,24,19.2,0.013915442,1.181,10,30
10,6,1,19,0.013752544,1.18,7,20
10,6,2,19.3,0.014033028,1.178,5,30
10,6,3,19.3,0.014033028,1.178,5,360
10,6,4,19,0.013822198,1.178,2,90
10,6,5,18.8,0.013605125,1.179,2,60
10,6,6,18.7,0.013559911,1.18,3,360
10,6,7,18.9,0.013525712,1.177,0,0
10,6,8,19,0.013474535,1.177,1,240
10,6,9,19.8,0.013846368,1.171,2,230
10,6,10,18,0.011265712,1.175,4,220
10,6,11,18.5,0.011394768,1.17,7,220
10,6,12,18.8,0.011444745,1.166,4,210
10,6,13,19.3,0.011882861,1.164,5,170
10,6,14,19.3,0.012505259,1.168,8,190
10,6,15,17.8,0.010853394,1.174,4,220
10,6,16,17.9,0.011154902,1.174,4,180
10,6,17,16.7,0.010025302,1.18,6,170
10,6,18,16,0.009818461,1.188,5,200
10,6,19,15.8,0.009878411,1.19,5,190
10,6,20,16,0.010095722,1.191,2,210
10,6,21,16.2,0.010449933,1.192,2,210
10,6,22,16,0.010290716,1.194,3,190
10,6,23,16,0.010485875,1.197,3,210
10,6,24,13.8,0.008149881,1.202,0,0
10,7,1,13.6,0.008022005,1.203,1,210
10,7,2,16.5,0.011272185,1.197,2,200
10,7,3,16.3,0.011121717,1.199,1,200
10,7,4,16,0.010497197,1.196,0,0
10,7,5,16.1,0.010777569,1.197,0,0
10,7,6,15,0.009979085,1.204,0,0
10,7,7,13.5,0.009396135,1.216,0,0
10,7,8,14.3,0.00949396,1.209,0,0
10,7,9,15,0.009751793,1.205,0,0
10,7,10,15.4,0.009196741,1.197,0,0
10,7,11,15,0.00767749,1.191,2,210
10,7,12,16,0.008341987,1.185,3,250
10,7,13,18.8,0.012040707,1.181,4,150
10,7,14,18.1,0.011381872,1.183,3,150
10,7,15,18,0.011630988,1.186,5,180
10,7,16,18.6,0.012519435,1.185,4,140
10,7,17,18.7,0.012313994,1.182,1,120
10,7,18,18.4,0.012308513,1.186,2,100
10,7,19,17.2,0.01170542,1.195,2,120
10,7,20,15.7,0.010699909,1.205,0,0
10,7,21,14.8,0.010263987,1.213,0,0
10,7,22,14.2,0.009861049,1.216,0,0
10,7,23,15.1,0.010512179,1.211,0,0
10,7,24,15.1,0.01055351,1.212,0,0
10,8,1,15.3,0.010662904,1.209,0,0
10,8,2,14.5,0.010029669,1.213,1,360
10,8,3,14.6,0.010097079,1.212,2,30
10,8,4,15,0.010587906,1.21,3,360
10,8,5,15,0.010587906,1.21,2,360
10,8,6,15,0.010598494,1.209,2,10
10,8,7,15,0.010587906,1.21,3,330
10,8,8,16,0.010970727,1.202,3,330
10,8,9,17.5,0.011831366,1.191,3,360
10,8,10,18,0.011615226,1.184,5,360
10,8,11,18.4,0.011782237,1.18,6,10
10,8,12,18.3,0.011201385,1.177,7,10
10,8,13,19.2,0.012235951,1.173,6,360
10,8,14,19.3,0.012255362,1.17,6,10
10,8,15,18.5,0.011851795,1.177,7,360
10,8,16,19.2,0.012485499,1.171,6,360
10,8,17,20,0.013834783,1.171,7,10
10,8,18,19.2,0.012901198,1.174,6,30
10,8,19,18.5,0.012501223,1.179,8,20
10,8,20,19.2,0.013525892,1.179,7,20
10,8,21,19.2,0.013511858,1.18,5,20
10,8,22,19.1,0.013423474,1.181,8,20
10,8,23,19.3,0.013740013,1.179,8,30
10,8,24,19.5,0.013919585,1.178,7,20
10,9,1,19.2,0.013623354,1.178,8,20
10,9,2,19.3,0.013768357,1.177,5,20
10,9,3,19.3,0.013768357,1.177,6,10
10,9,4,19.2,0.013762594,1.178,7,10
10,9,5,18.8,0.012717915,1.181,9,210
10,9,6,18.7,0.012631819,1.182,8,210
10,9,7,19,0.013446685,1.179,7,160
10,9,8,19.3,0.013740013,1.179,0,0
10,9,9,19.5,0.013876729,1.182,1,260
10,9,10,19.5,0.013751539,1.181,4,60
10,9,11,19.8,0.013719096,1.174,6,360
10,9,12,20.2,0.014006445,1.171,5,360
10,9,13,20.8,0.014369747,1.166,5,10
10,9,14,21.5,0.014676483,1.157,5,10
10,9,15,20.5,0.014529607,1.169,0,0
