Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
5,1,1,16.3,0.01259577,1.093,6,170
5,1,2,16.2,0.012472054,1.093,7,170
5,1,3,15.8,0.012120116,1.094,5,160
5,1,4,15.8,0.01216159,1.094,4,160
5,1,5,15.7,0.012081687,1.095,6,150
5,1,6,15.4,0.011816527,1.095,5,150
5,1,7,15.5,0.011964733,1.096,6,150
5,1,8,15.5,0.011868595,1.097,4,160
5,1,9,15.5,0.011827158,1.096,5,160
5,1,10,16,0.012005141,1.093,3,120
5,1,11,16,0.012005141,1.093,4,140
5,1,12,16.3,0.012042448,1.09,6,140
5,1,13,16.5,0.01241528,1.091,8,160
5,1,14,16,0.011811608,1.091,6,160
5,1,15,16.2,0.01176717,1.088,8,150
5,1,16,16.3,0.01207033,1.088,8,150
5,1,17,16,0.011618247,1.088,6,130
5,1,18,16.2,0.012181595,1.091,6,130
5,1,19,15.8,0.012065138,1.095,6,130
5,1,20,15.5,0.011827158,1.096,7,130
5,1,21,15.4,0.011777059,1.098,7,130
5,1,22,15.3,0.011699197,1.099,6,120
5,1,23,15.5,0.011966536,1.1,4,130
5,1,24,15.1,0.011573406,1.101,5,120
5,2,1,15,0.011414205,1.101,7,110
5,2,2,14.6,0.010989052,1.102,4,120
5,2,3,14,0.010315048,1.102,5,110
5,2,4,14,0.010480042,1.104,6,110
5,2,5,13.7,0.010183984,1.104,6,120
5,2,6,13.6,0.010031232,1.104,6,120
5,2,7,14,0.01060385,1.104,3,140
5,2,8,14,0.010550651,1.105,3,120
5,2,9,13.8,0.010231248,1.106,4,120
5,2,10,14,0.009879192,1.102,7,120
5,2,11,15,0.010438598,1.097,8,130
5,2,12,15.2,0.01067361,1.096,7,100
5,2,13,15.7,0.011076132,1.092,6,130
5,2,14,16,0.011370433,1.09,5,140
5,2,15,16.5,0.012207846,1.089,7,130
5,2,16,16,0.011590925,1.09,4,140
5,2,17,15.9,0.011551813,1.091,7,130
5,2,18,16,0.011797957,1.092,5,140
5,2,19,16,0.012005141,1.093,8,120
5,2,20,15.9,0.011993904,1.096,5,110
5,2,21,15.5,0.011497733,1.098,6,120
5,2,22,15.7,0.011779506,1.098,6,130
5,2,23,15.6,0.01178333,1.099,6,110
5,2,24,15.4,0.011543829,1.099,6,110
5,3,1,15.5,0.011800759,1.099,6,110
5,3,2,15,0.011207361,1.1,6,110
5,3,3,14.7,0.010993476,1.1,6,110
5,3,4,14.7,0.010993476,1.1,4,130
5,3,5,14.5,0.010844603,1.101,4,130
5,3,6,14.5,0.010844603,1.101,3,120
5,3,7,14.5,0.010832275,1.102,4,110
5,3,8,14.5,0.010790972,1.102,3,100
5,3,9,15,0.011111948,1.1,4,80
5,3,10,15.4,0.011254197,1.097,6,30
5,3,11,16,0.011398214,1.091,7,60
5,3,12,16.6,0.011682836,1.087,5,80
5,3,13,16.6,0.011407342,1.084,4,40
5,3,14,17.5,0.011737174,1.075,5,40
5,3,15,17.5,0.011421358,1.071,6,70
5,3,16,18.2,0.012629379,1.071,7,170
5,3,17,18.6,0.013499172,1.073,6,140
5,3,18,17.7,0.01317393,1.081,7,160
5,3,19,16.7,0.012597029,1.088,6,170
5,3,20,16.9,0.012959928,1.09,4,170
5,3,21,16.5,0.012622866,1.092,3,160
5,3,22,16.5,0.012622866,1.092,4,140
5,3,23,16.4,0.01258135,1.093,3,110
5,3,24,16.1,0.012335091,1.095,1,170
5,4,1,16,0.012212476,1.095,2,120
5,4,2,16,0.012170997,1.095,3,60
5,4,3,16,0.012267624,1.094,3,50
5,4,4,16,0.012267624,1.094,6,60
5,4,5,16,0.012281316,1.093,9,40
5,4,6,16.2,0.012402909,1.091,7,40
5,4,7,16.3,0.012443658,1.091,4,50
5,4,8,16.3,0.012429692,1.092,4,40
5,4,9,16.3,0.012429692,1.092,3,50
5,4,10,16.3,0.012249782,1.092,3,40
5,4,11,16.6,0.012249794,1.088,3,60
5,4,12,17,0.0126299,1.087,2,70
5,4,13,17.5,0.012664069,1.08,2,40
5,4,14,17.5,0.012057113,1.074,3,30
5,4,15,19,0.013271873,1.065,0,0
5,4,16,19.4,0.013386699,1.06,0,0
5,4,17,19,0.01308081,1.063,0,0
5,4,18,18.2,0.012163506,1.066,2,310
5,4,19,19,0.014496438,1.073,3,120
5,4,20,18.2,0.014033613,1.079,4,140
5,4,21,17.9,0.013868786,1.083,3,150
5,4,22,17.6,0.013641095,1.084,2,160
5,4,23,17.4,0.013464104,1.085,3,150
5,4,24,17.2,0.013289161,1.086,3,150
5,5,1,17,0.013089317,1.086,0,0
5,5,2,17,0.013089317,1.086,0,0
5,5,3,17,0.013089317,1.086,1,360
5,5,4,17,0.013089317,1.086,0,0
5,5,5,17,0.013145601,1.085,0,0
5,5,6,17,0.013145601,1.085,3,10
5,5,7,17.1,0.013205225,1.083,2,20
5,5,8,17.1,0.013190401,1.084,2,30
5,5,9,17.8,0.013809429,1.081,2,30
5,5,10,18,0.01336626,1.075,2,360
5,5,11,18.9,0.013292352,1.064,4,330
5,5,12,18.5,0.012581695,1.064,4,310
5,5,13,19,0.012865158,1.059,6,310
5,5,14,19.5,0.012938397,1.053,6,280
5,5,15,18.6,0.011879601,1.055,6,270
5,5,16,18.8,0.011589111,1.05,7,270
5,5,17,19.4,0.012666781,1.05,7,240
5,5,18,18.8,0.01225093,1.054,7,270
5,5,19,19.4,0.014747109,1.064,6,170
5,5,20,19,0.01450505,1.069,5,160
5,5,21,18.9,0.014826066,1.072,0,0
5,5,22,18.2,0.014415202,1.078,0,0
5,5,23,18,0.014215248,1.08,0,0
5,5,24,17.8,0.014048959,1.08,0,0
5,6,1,17.6,0.013827321,1.081,2,30
5,6,2,17.3,0.013602958,1.082,1,320
5,6,3,17,0.013341522,1.084,2,340
5,6,4,16.7,0.013084619,1.086,1,330
5,6,5,16.2,0.01266633,1.088,2,320
5,6,6,15.5,0.012072863,1.09,3,360
5,6,7,15.4,0.012048687,1.09,1,320
5,6,8,15.3,0.011791083,1.09,0,0
5,6,9,16.1,0.011837599,1.083,1,330
5,6,10,17.6,0.01257975,1.072,3,300
5,6,11,18.2,0.013248665,1.069,5,300
5,6,12,19.2,0.013325091,1.058,4,300
5,6,13,19.3,0.013273878,1.055,6,280
5,6,14,19,0.013147854,1.058,5,270
5,6,15,19.6,0.014529067,1.06,8,220
5,6,16,17.5,0.012811983,1.072,8,300
5,6,17,17,0.011891503,1.07,5,270
5,6,18,17,0.01229102,1.074,4,250
5,6,19,17,0.012913668,1.078,3,330
5,6,20,17,0.012940408,1.08,3,290
5,6,21,17,0.012940408,1.08,3,270
5,6,22,16.9,0.012910555,1.079,2,330
5,6,23,16.8,0.012934861,1.082,1,340
5,6,24,16.5,0.012722375,1.084,2,300
5,7,1,16.5,0.012722375,1.084,3,320
5,7,2,16.3,0.012569618,1.084,4,290
5,7,3,16,0.012281124,1.085,3,280
5,7,4,16,0.012322611,1.085,3,250
5,7,5,16,0.012322611,1.085,4,310
5,7,6,16,0.012322611,1.085,2,290
5,7,7,16,0.012322611,1.085,0,0
