Mês,Dia,Hora,Temperatura {C},Umidade {kg/kg},Densidade do ar {kg/m3},Velocidade do Vento {m/s},Direção do Vento {graus}
12,1,1,15.7,0.011929317,1.092,5,130
12,1,2,15.4,0.011692257,1.094,4,110
12,1,3,15.1,0.011472296,1.094,3,110
12,1,4,14.9,0.011319122,1.095,3,120
12,1,5,14.6,0.011134067,1.097,3,130
12,1,6,14.4,0.010985333,1.098,5,120
12,1,7,14.6,0.010927421,1.095,4,130
12,1,8,15.6,0.011105008,1.087,5,100
12,1,9,15,0.010020519,1.086,6,80
12,1,10,15.1,0.009466942,1.082,8,90
12,1,11,16.4,0.010293239,1.074,4,100
12,1,12,16.2,0.00952627,1.069,5,120
12,1,13,16.5,0.009361851,1.065,6,120
12,1,14,17.4,0.010759541,1.064,10,180
12,1,15,17,0.010619673,1.067,8,160
12,1,16,17,0.010840537,1.067,9,170
12,1,17,16.5,0.010830738,1.073,11,160
12,1,18,16,0.010626438,1.077,7,160
12,1,19,13.5,0.007926183,1.083,10,150
12,1,20,13.1,0.0083054,1.09,5,130
12,1,21,13.5,0.009155559,1.092,3,150
12,1,22,13.9,0.010002608,1.096,4,100
12,1,23,13.8,0.010137162,1.098,4,90
12,1,24,14,0.010527992,1.099,5,90
12,2,1,13.5,0.010131286,1.101,4,100
12,2,2,13.1,0.009865791,1.102,5,90
12,2,3,13.1,0.009948157,1.102,5,100
12,2,4,13,0.009921062,1.103,3,100
12,2,5,12.5,0.009462282,1.105,3,100
12,2,6,13,0.009838702,1.103,5,60
12,2,7,13.4,0.010084633,1.099,8,60
12,2,8,14.4,0.01059716,1.092,10,30
12,2,9,16.1,0.011533927,1.082,9,30
12,2,10,16.5,0.011243689,1.076,5,30
12,2,11,17.5,0.010903686,1.062,4,30
12,2,12,17.7,0.010848791,1.058,2,60
12,2,13,18.4,0.011320782,1.054,3,360
12,2,14,18.9,0.01157724,1.047,7,270
12,2,15,18.9,0.011181173,1.043,6,300
12,2,16,18.7,0.010801283,1.042,5,290
12,2,17,20.5,0.01405029,1.042,7,170
12,2,18,20,0.01396443,1.046,7,160
12,2,19,19.5,0.01385658,1.053,6,140
12,2,20,19.5,0.014481591,1.057,3,180
12,2,21,19.5,0.014464074,1.058,3,140
12,2,22,19.5,0.014655226,1.061,2,160
12,2,23,19,0.014205078,1.064,2,90
12,2,24,19,0.014371891,1.065,2,60
12,3,1,19,0.014371891,1.065,2,30
12,3,2,18.5,0.01395183,1.067,2,330
12,3,3,18.5,0.014134974,1.067,3,340
12,3,4,18.5,0.014134974,1.067,2,340
12,3,5,18.5,0.013901379,1.064,3,360
12,3,6,18,0.013061193,1.064,2,20
12,3,7,18,0.013061193,1.064,2,360
12,3,8,17.7,0.012565202,1.065,3,320
12,3,9,17.7,0.012026409,1.061,8,310
12,3,10,18.5,0.012886922,1.058,9,320
12,3,11,20,0.015514101,1.06,5,310
12,3,12,19.5,0.015299539,1.064,5,300
12,3,13,19.3,0.015393367,1.067,8,290
12,3,14,19.5,0.015508789,1.066,5,330
12,3,15,20,0.01578343,1.06,6,330
12,3,16,19.8,0.015620269,1.061,6,330
12,3,17,18.8,0.014562995,1.065,6,350
12,3,18,19,0.014857343,1.063,4,330
12,3,19,18.7,0.014525418,1.065,4,310
12,3,20,18.8,0.014437784,1.064,2,350
12,3,21,19.3,0.015135201,1.063,1,330
12,3,22,19,0.014823272,1.066,3,330
12,3,23,19.5,0.015508789,1.066,10,230
12,3,24,17.2,0.013560386,1.079,2,360
12,4,1,16.7,0.012920347,1.08,2,340
12,4,2,16.8,0.01296415,1.08,3,270
12,4,3,17.8,0.01409586,1.076,1,270
12,4,4,17.8,0.014069857,1.075,0,0
12,4,5,17.8,0.014069857,1.075,2,200
12,4,6,17.7,0.013895844,1.075,4,200
12,4,7,17.5,0.013617482,1.076,1,200
12,4,8,17.6,0.013649821,1.077,2,190
12,4,9,17.9,0.013712639,1.074,2,180
12,4,10,18.1,0.013089364,1.068,2,190
12,4,11,18.5,0.012630408,1.06,0,0
12,4,12,17.5,0.011073132,1.06,4,190
12,4,13,17.5,0.010701908,1.057,4,190
12,4,14,17.5,0.010454696,1.055,4,190
12,4,15,17.5,0.010413515,1.055,6,160
12,4,16,17.2,0.010165952,1.055,8,160
12,4,17,16.8,0.00990483,1.058,7,140
12,4,18,16.4,0.009733718,1.061,9,150
12,4,19,15.3,0.009178548,1.069,11,140
12,4,20,15.5,0.009444899,1.07,9,130
12,4,21,16,0.011287249,1.078,5,90
12,4,22,16.5,0.012017078,1.079,2,120
12,4,23,16.5,0.012099963,1.079,2,120
12,4,24,16.5,0.012307282,1.081,2,120
12,5,1,16,0.012101367,1.085,2,120
12,5,2,15,0.011310133,1.09,0,0
12,5,3,14.5,0.011150861,1.093,0,0
12,5,4,14.1,0.010855526,1.095,0,0
12,5,5,13.5,0.010631792,1.099,0,0
12,5,6,13,0.010284721,1.102,1,30
12,5,7,12.7,0.010070271,1.105,0,0
12,5,8,13.5,0.010620051,1.101,0,0
12,5,9,16,0.011838891,1.084,0,0
12,5,10,17.8,0.012219862,1.067,1,170
12,5,11,15.9,0.009653671,1.07,3,110
12,5,12,14.6,0.007544011,1.068,6,100
12,5,13,14.5,0.007347678,1.068,5,150
12,5,14,14.5,0.007225329,1.067,5,170
12,5,15,14.1,0.006539208,1.065,6,150
12,5,16,15,0.007775322,1.064,8,180
12,5,17,15.1,0.008109767,1.065,10,160
12,5,18,14.2,0.007479319,1.069,9,150
12,5,19,15.4,0.009571886,1.072,8,170
12,5,20,15.8,0.011042846,1.078,9,140
12,5,21,15.8,0.011442544,1.082,6,150
12,5,22,15.5,0.011645141,1.088,4,90
12,5,23,15.1,0.011250062,1.09,3,50
12,5,24,14.8,0.010979314,1.091,3,70
12,6,1,15,0.011310133,1.09,2,90
12,6,2,14.8,0.011116064,1.091,2,90
12,6,3,14.5,0.010861597,1.091,2,90
12,6,4,14.2,0.010639638,1.092,2,90
12,6,5,13.7,0.010372757,1.094,2,90
12,6,6,13,0.009884024,1.098,0,0
12,6,7,13.5,0.010178056,1.096,0,0
12,6,8,15.6,0.011296174,1.082,2,60
12,6,9,13.6,0.00905563,1.087,3,60
12,6,10,14,0.008549382,1.08,2,60
12,6,11,14,0.007976349,1.076,6,60
12,6,12,14.4,0.007572201,1.069,7,50
12,6,13,15,0.007788216,1.063,2,50
12,6,14,16.6,0.008546755,1.051,3,210
12,6,15,16.5,0.008232327,1.048,3,210
12,6,16,16.4,0.008122808,1.047,3,240
12,6,17,17.3,0.009887147,1.048,8,130
12,6,18,18,0.011750655,1.053,9,130
12,6,19,17.5,0.012209775,1.062,5,170
12,6,20,17.2,0.012758892,1.071,3,170
12,6,21,16.2,0.011975863,1.078,3,180
12,6,22,15.9,0.011854372,1.08,2,140
12,6,23,16.1,0.012266529,1.081,2,170
12,6,24,15.9,0.012089172,1.083,3,100
12,7,1,15.5,0.011905964,1.085,3,170
12,7,2,15,0.011610502,1.087,2,150
12,7,3,15,0.011610502,1.087,2,150
12,7,4,15.2,0.011861989,1.085,2,140
12,7,5,15.2,0.011861989,1.085,0,0
12,7,6,15.2,0.011696302,1.084,3,50
12,7,7,15.8,0.012160122,1.082,2,80
12,7,8,15.5,0.011712359,1.082,5,70
12,7,9,16.4,0.012488261,1.078,5,50
12,7,10,16.8,0.012412206,1.073,3,80
12,7,11,17,0.01241857,1.071,6,170
12,7,12,17.4,0.012836909,1.071,5,150
12,7,13,17.6,0.012781419,1.067,5,180
12,7,14,18.6,0.013538223,1.06,7,190
12,7,15,17.5,0.012831997,1.067,8,160
12,7,16,17.4,0.013532887,1.073,6,150
12,7,17,16.4,0.012419633,1.076,9,170
12,7,18,16.6,0.012906063,1.079,6,170
12,7,19,16.7,0.013157473,1.079,5,180
12,7,20,16.5,0.012987729,1.081,2,180
12,7,21,16.1,0.012488056,1.081,0,0
12,7,22,16,0.012364418,1.082,4,90
12,7,23,16,0.012364418,1.082,5,80
12,7,24,16,0.012364418,1.082,5,100
12,8,1,15.9,0.012241285,1.082,4,140
12,8,2,15.9,0.012296671,1.081,3,170
12,8,3,15.9,0.012296671,1.081,2,100
12,8,4,15.7,0.012106903,1.08,3,150
12,8,5,15.8,0.012229248,1.08,3,160
12,8,6,15.7,0.012148366,1.081,2,150
12,8,7,15.9,0.012296671,1.081,3,170
12,8,8,16.3,0.012612265,1.08,4,170
12,8,9,16.8,0.012827345,1.076,3,160
12,8,10,17.5,0.013232124,1.071,2,140
12,8,11,18.3,0.013530625,1.065,1,50
12,8,12,18.3,0.012923372,1.059,0,0
12,8,13,19,0.013173959,1.053,0,0
12,8,14,19.4,0.012919432,1.045,2,80
12,8,15,20,0.014042387,1.044,5,120
12,8,16,20.6,0.01550612,1.047,5,160
12,8,17,19.5,0.015369945,1.06,5,140
12,8,18,19.5,0.015369945,1.06,7,100
12,8,19,17.5,0.013413972,1.071,4,90
12,8,20,17.6,0.013378822,1.069,2,180
12,8,21,17.5,0.013247572,1.07,3,150
12,8,22,17.9,0.013926686,1.071,3,150
12,8,23,17.9,0.013926686,1.071,2,160
12,8,24,17.9,0.013926686,1.071,2,150
12,9,1,18.2,0.014245222,1.07,0,0
12,9,2,18.2,0.014286942,1.07,0,0
12,9,3,18,0.014076093,1.07,0,0
12,9,4,16.8,0.012592937,1.073,0,0
12,9,5,16.7,0.012548887,1.074,2,220
12,9,6,17.2,0.013605769,1.076,0,0
12,9,7,17,0.013430799,1.077,0,0
12,9,8,17.2,0.013605769,1.076,0,0
12,9,9,18.5,0.014401713,1.067,2,360
12,9,10,20.3,0.015862513,1.056,2,330
12,9,11,20.9,0.015665211,1.047,2,330
12,9,12,20.8,0.015389899,1.046,2,300
12,9,13,20.6,0.015133937,1.047,5,230
12,9,14,19.5,0.013666079,1.05,3,250
12,9,15,19.8,0.014194373,1.049,6,300
12,9,16,19.6,0.014182562,1.053,2,330
12,9,17,19.5,0.013666079,1.05,1,280
12,9,18,20.5,0.015338994,1.048,2,150
12,9,19,20.3,0.015546158,1.052,4,150
12,9,20,20,0.015401204,1.055,6,90
12,9,21,20,0.015526717,1.056,5,180
12,9,22,20.1,0.016054476,1.061,5,180
12,9,23,20,0.016034865,1.062,5,160
12,9,24,19.2,0.015169138,1.067,4,160
12,10,1,18.6,0.014563594,1.069,4,130
12,10,2,18,0.014044178,1.072,3,120
12,10,3,17.8,0.013861418,1.073,1,160
12,10,4,17.7,0.013770831,1.074,0,0
12,10,5,17.6,0.013764083,1.075,0,0
12,10,6,17.3,0.013496956,1.076,3,150
12,10,7,17.7,0.013838571,1.076,2,130
12,10,8,18,0.014054099,1.075,3,140
12,10,9,18,0.013637427,1.072,4,160
12,10,10,18.1,0.013505216,1.071,6,150
12,10,11,18.9,0.013800015,1.064,5,150
12,10,12,19,0.014104825,1.065,5,140
12,10,13,18.7,0.014066807,1.068,7,160
12,10,14,19,0.014355001,1.066,8,180
12,10,15,19.6,0.014755307,1.061,7,180
12,10,16,18,0.013413502,1.072,8,180
12,10,17,17.3,0.012993945,1.077,8,170
12,10,18,17.9,0.013905237,1.076,7,170
12,10,19,17.5,0.013586804,1.079,5,150
12,10,20,16.6,0.01301439,1.085,6,90
12,10,21,16.4,0.012638676,1.084,4,120
12,10,22,16.2,0.01247274,1.085,4,100
12,10,23,15.9,0.012227455,1.087,3,70
12,10,24,16.2,0.012583265,1.087,3,130
12,11,1,16.2,0.012624794,1.088,5,120
12,11,2,16,0.012294895,1.088,4,170
12,11,3,16,0.01235023,1.087,5,120
12,11,4,16,0.01235023,1.087,3,160
12,11,5,16.1,0.012432001,1.086,2,170
12,11,6,15.9,0.012310426,1.088,4,120
12,11,7,16.4,0.012804843,1.086,3,100
12,11,8,16.5,0.012307282,1.081,3,140
12,11,9,16.5,0.011712887,1.078,5,90
12,11,10,16.8,0.011785739,1.076,7,80
12,11,11,18,0.012758618,1.07,5,100
12,11,12,18.5,0.012780083,1.063,6,90
12,11,13,18.4,0.012453949,1.06,4,50
12,11,14,19,0.012732785,1.055,0,0
12,11,15,20.5,0.014637905,1.049,3,170
12,11,16,20.4,0.014741342,1.051,5,150
12,11,17,20,0.014887055,1.055,5,140
12,11,18,19,0.014472265,1.065,7,150
12,11,19,19,0.014639231,1.066,8,130
12,11,20,18.5,0.014102161,1.069,4,140
12,11,21,18.4,0.014049817,1.07,4,130
12,11,22,18.1,0.013963359,1.074,3,90
12,11,23,18.4,0.014242072,1.073,2,90
12,11,24,18.5,0.014377788,1.073,2,90
12,12,1,18.3,0.014331646,1.073,3,50
12,12,2,18,0.013861551,1.072,3,40
12,12,3,17.8,0.013694776,1.072,5,40
12,12,4,17.6,0.013514213,1.073,5,30
12,12,5,17.5,0.013632873,1.075,2,340
